Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
Gabay Sa Pagdidisipulo,Edwin Jardinel,Ebook,USD 3.00,"This is the Tagalog version of ""A Manual for Discipleship"" by Edwin Jardinel.  Encouraging members to lead Bible study can be very difficult due to it takes motivation to push members to lead Bible study. Oftentimes, they would be encouraged but soon they run out of topics or they lose motivation. There are also bible study leaders who go to Bible study meetings without much preparation.  And members find it boring.  The advantage of using materials is that it can be challenging for both the leaders and the learners.  They have a goal of finishing the set of lessons so they can move into advance topics.  It is easier to learn how to lead Bible study with the use of materials.  It is easy for learners to learn also the methods so that soon they can become Bible study leaders.",2018,Tagalog,9780359208494,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Edwin Jardinel,,,,,PDF,"['Discipleship', 'Bible Study guide']"
Gabay sa Pagbasa sa Filipino,Charmin Rhoda Cabanban Tomelden,Hardcover,USD 34.99,"Ang aklat na ito ay ginawa para sa mga batang nagnanais matutong bumasa, mula sa edad na 4 hanggang 6 upang makatulong na malinang ang kakayahan sa pagkilala ng titik at tunog na bumubuo sa mga salita.
Ang pag-aaral  sinimulan sa mga patinig at sinundan ng mga titik ayon sa pagkakasunod-sunod sa Alpabetong Filipino. Ang bawat titik ay may makukulay na larawan upang makuha ang atensyon ng magbabasa at makakatulong upang madaling makilala ang mga susing salita. Ang mga Pagsasanay ay makakatulong rin upang mas lalong mahasa ang kasanayan.
Pangunahing layunin ng may-akda na makatulong sa bawat bata na maging isang malayang mambabasa at patuloy na magkaroon ng interes at pagmamahal sa pagbabasa.
Sa pakikiisa at pakikipagtulungan ng mga guro at magulang, magiging madali ang pagbabasa!",2022,"Filipino, Pilipino",9786214702923,Children's,All Rights Reserved - Standard Copyright License,By (author): Charmin Rhoda Cabanban Tomelden,35,Hardcover,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['children', 'workbook', 'lessons']"
The Laryngectomee Guide Philippines Edition   Gabay sa Larynngectomee,Itzhak Brook MD,Ebook,USD 5.99,"Gabay na ito ay isinulat ni Dr. Itzhak Brook, isang manggagamot at isang laryngectomee. Nagbibigay ito ng impormasyon na maaaring makatulong sa mga laryngectomees at kanilang mga tagapag-alaga sa pagharap sa mga isyung medikal, dental at sikolohikal. Kabilang sa mga heading ng kabanata: ang mga epekto ng radiation at chemotherapy; ang mga pamamaraan ng pagsasalita pagkatapos ng laryngectomy; at kung paano pag-aalaga ang daanan ng hangin, stoma, init at kahalumigmigan ng filter, at pagbuo ng boses. Ang iba pang mga lugar ay tumutukoy sa mga isyu sa pagkain at paglunok, mga medikal, alalahanin sa ngipin at sikolohikal, mga emerhensiyang pang-emergency, kawalan ng pakiramdam, at paglalakbay bilang isang laryngectomee.",2020,Tagalog,9781678151645,Science & Medicine,All Rights Reserved - Standard Copyright License,By (author): Itzhak Brook MD,,,,,PDF,"['Pagsasalita', 'laryngectomee', 'cancer', 'paggamot sa radiation', 'stoma']"
The Laryngectomee Guide Philippines Edition   Gabay sa Larynngectomee,Itzhak Brook MD,Paperback,USD 18.00,"Gabay na ito ay isinulat ni Dr. Itzhak Brook, isang manggagamot at isang laryngectomee. Nagbibigay ito ng impormasyon na maaaring makatulong sa mga laryngectomees at kanilang mga tagapag-alaga sa pagharap sa mga isyung medikal, dental at sikolohikal. Kabilang sa mga heading ng kabanata: ang mga epekto ng radiation at chemotherapy; ang mga pamamaraan ng pagsasalita pagkatapos ng laryngectomy; at kung paano pag-aalaga ang daanan ng hangin, stoma, init at kahalumigmigan ng filter, at pagbuo ng boses. Ang iba pang mga lugar ay tumutukoy sa mga isyu sa pagkain at paglunok, mga medikal, alalahanin sa ngipin at sikolohikal, mga emerhensiyang pang-emergency, kawalan ng pakiramdam, at paglalakbay bilang isang laryngectomee.",2020,Tagalog,9781678151539,Science & Medicine,All Rights Reserved - Standard Copyright License,By (author): Itzhak Brook MD,138,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Pagsasalita', 'laryngectomee', 'cancer', 'paggamot', 'stoma', 'sa radiation']"
3 Pahinang Praktikal na Gabay sa Pera+300 Negosyo,Mansoor Muallim,Ebook,USD 1.32,"Siguro’y 100 beses mo nang sinubukang kumita. Ngayon, dito na
magtatapos ang paghahanap mo.
Galing ka man sa India o saan mang parte ng mundo, ang app na ito ay
magpapakita ng tanging tatlong praktikal na paraan para maging
entrepreneur. At hindi na kailangan pa ng mahabang diskusyon dahil
kasya ang lahat ng ito sa 3 pahina. Praktikal ang mga ito, at hindi na
kailangang mag-imbita ng magsa sign up, sasali, o magbabayad.
Bilang bonus, makakakuha ka rin ng 300 na ideyang pang-negosyo.
Subukan mo na.",2022,"Filipino, Pilipino",N/A,Business & Economics,All Rights Reserved - Standard Copyright License,By (author): Mansoor Muallim,,,,,PDF,"['money making,', 'money making ideas,', 'best money making,', 'online money making,', 'money making online,', 'top money making businesses,', 'money making skills,', 'new world money making,', 'money making opportunities,']"
Mas Mabubuting mga Araw: Librong gabay para sa pagpapagaling ng mga taong may problema sa kalusugan ng pag iisip,Craig Lewis,Paperback,USD 15.00,"Ang librong ito ay makakatulong sa mga may balak magpagaling at pati na sa mga kasalukuyang nagpapagaling sa kadahilanang ipinaaabot nito ang kalagayan at mga pagsubok ng isang indibidwal sa napaka-makatotohanan, simple, at tapat na mga pamamaraan upang magkaroon sila ng malalim na pagkakaintindi kung paano mamuhay ng wasto bilang isang may karamdaman sa pag iisip. Ang kagandahan ng kurikulum na ito ay hindi siya makokonsidera na mga mahihirap na gawain sa pang araw-araw o kaya isang sapilitan na programa dahil ang bawat pahina ay naghihimok sa indibidwal na mag isip sa makatotohanan at progresibong pamamaraan, dahilan kung bakit masaya silang sinusunod ang mga ito.  
 
Ang librong ito ay ibinase ko sa aking personal na buhay at sa aking pagpapagaling; at ang bawat pahina rito ay matagumpay na nagamit sa iba't ibang mga grupo.",2019,Tagalog,9781387979479,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Craig Lewis,82,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Mental Health', 'Recovery', 'Wellness', 'Mental Illness', 'Coping Skills', 'Self Help', 'Self Improvement', 'Cognitive Skills', 'Peer Support', 'Addiction', 'Stress Reduction', 'Hope', 'Peer', 'Resiliency', 'Whole Health']"
SOLI E SOGNI,Pierre-Yves GABAY,Paperback,USD 11.78,RECUEIL DE PHOTOS ET DE POÉSIES ORIGINALES ÉCRITES OU FINALISÉES DE 2015 A 2018.,2018,French,9780244710736,Poetry,All Rights Reserved - Standard Copyright License,By (author): Pierre-Yves GABAY,34,Paperback,Color,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['SOLI', 'SOGNI']"
Munting Makata,Jasmine Melchor,Ebook,USD 5.00,"Ang Munting Makata ay isang koleksyon ng walumpu’t limang tula na hinati sa limang kabanata. Tinatalakay nito ang tema ng kabataan at ang iba’t ibang anggulo nito. Inosenteng pang-unawa, musmos na pag-ibig, pagkawalang gabay, at konsepto ng pangarap ang mga paksang tinututukan nito. Kung ang pag-aaral ay isang panghabang-buhay na proseso, ang kabataan ang pinakanagtatagal na edad sa puso, at ang Munting Makata ay para sa mga unti-unti nang nakakalimot.",2022,"Filipino, Pilipino",N/A,Poetry,All Rights Reserved - Standard Copyright License,"By (author): Jasmine Melchor, Illustrated by: Jasmine Melchor",,,,,PDF,"['poetry', 'youth']"
Aklat Ng Medium,Kumander Sator,Ebook,USD 15.00,"ATAS NG MALAKING KAKULANGAN NATIN NG KAALAMAN SA PAGPAPAUNLAD NG MGA KALOOB (FACULTAD MEDIANIMIKA) AT UPANG MAKATULONG SA MGA KAPATID NA MGA KASANGKAPAN AT LALO PA SA MGA KASALUKUYANG NAGSASANAY NGAYON SA PAGPAPAUNLAD SA ANOMANG URI NG KALOOB, ANG MALIIT NA HALAW NA ITO BUHAT SA AKLAT NG MGA MEDIUM, AY INAASAHAN NAMING PAKIKINABANGAN NG MARAMING NAGSISIPAGSALIKSIK UKOL SA ESPIRITISMO.",2020,English,9781716992100,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"Edited by: Kumander Sator, Revised by: MSK SVDD",,,,,EPUB,"['healing', 'miracle', 'medium', 'spirituality']"
Sabi Ni Justin,"Alvin C. Cac, LPT",Ebook,USD 2.00,"Lubos kong pinasasalamatan ang Poong may kapal sa binibigay niyang kalakasan at gabay. Maraming Salamat din kay Roland M. Fronda EdD, CESO VI Schools Division

Superintendent, Division of Bataan sa paghikayat niya na makapaglathala ako ng isang libro, kay G. Edgar Garcia na nagbigay sa akin ng pagkakataon na makasali sa isang seminar upang mahasa ang aking paraan ng pagsulat. Isang espesyal na pasasalamat kay G. Ariel Lansang, May-akda ng Itchy Pen 1 at Itchy Pen 2 na nagsilbing malaking impluwensiya sa akin upang magsulat at makagawa ng libro.

Ganun din sa Poetry Planet Publishing House, lalo na kay Marites Ritumalta sa kanilang sipag at tyaga.

Sa aking mga kaibigan, pamilya, mga mag-aaral at mga guro sa larangang ng edukasyon, Salamat.",2021,English,9786218261921,Children's,All Rights Reserved - Standard Copyright License,"By (author): Alvin C. Cac, LPT",,,,,EPUB,"['children', 'story', 'poetry']"
Sagradong Testamento Ng 24 Ancianos,MSK SVDD,Ebook,USD 15.00,"Ang testamento na ito ay naglalahad ng mga kababalaghan at kamangha-manghang mga bagay na maaari mong makamtan sa pamamagitan ng tulong ng 24 ancianos ng Diyos. Ang 24 ancianos o 24 na kanunu-nunoan na nakapalibot sa trono ng Diyos sa langit ay mababasa natin sa hayag na kasulatan ang Biblia. Ito ay mababasa sa aklat ng Mga Pahayag Kapitulo 4 Bersikulo 4. Bagaman ay hindi naihayag ang kanilang mga pangalan sa bibliam ngunit dito sa karunongang lihim natin malalaman ang kabuoang pangalan nila ng mga ito at ang kanilang mga katungkolan.

Mapalad ang mga taong magtatangan ng aklat na ito sapagkat malalaman nila papaano tumawag sa 24 ancianos ng Dios upang maging gabay, patnubay, at tagasaklolo sa oras nng pangangailangan at kagipitan.",2020,English,9781678125592,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): MSK SVDD,,,,,PDF,"['spirituality', 'spiritism', 'magical', 'magic', 'belief', 'angels', 'demons', 'wisdom', 'agimat', 'anting-anting', 'karunongang lihim', 'lihim na karunongan', 'sorcery']"
Sagradong Testamento Ng 24 Ancianos,Kumander Sator,Ebook,USD 15.00,"Ang testamento na ito ay naglalahad ng mga kababalaghan at kamangha-manghang mga bagay na maaari mong makamtan sa pamamagitan ng tulong ng 24 ancianos ng Diyos. Ang 24 ancianos o 24 na kanunu-nunoan na nakapalibot sa trono ng Diyos sa langit ay mababasa natin sa hayag na kasulatan ang Biblia. Ito ay mababasa sa aklat ng Mga Pahayag Kapitulo 4 Bersikulo 4. Bagaman ay hindi naihayag ang kanilang mga pangalan sa bibliam ngunit dito sa karunongang lihim natin malalaman ang kabuoang pangalan nila ng mga ito at ang kanilang mga katungkolan. Mapalad ang mga taong magtatangan ng aklat na ito sapagkat malalaman nila papaano tumawag sa 24 ancianos ng Dios upang maging gabay, patnubay, at tagasaklolo sa oras nng pangangailangan at kagipitan.",2020,English,9781716988158,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"Illustrated by: Kumander Sator, Edited by: MSK SVDD",,,,,EPUB,"['healing', 'miracle', 'protection', 'karunongang lihim', 'lihim na karunongan', 'power', 'magic', 'agimat', 'anting-anting']"
Testamento Sagrado Del Virgenes Maria,MSK SVDD,Ebook,USD 15.00,"Sa aklat na ito mailalahad ang lahat na lihim na karunongan na nauukol sa Inang Birheng Maria na hindi kailanman inihayag at ipinagkaloob doon sa mga taong walang pananampalatay sa Deus. Dito sa aklat na ito malalaman ang lahat na pamamaraan ng paggamit ng talandro, medalyon at panyo na nauukol sa Inang Maria na nakabukas ang palad. Mga lihim at mahiwagang mga salita na nagbibigay proteksyon, depensa, kaligtasan at gabay mula sa mga kapanganiban, karahasan, trahedya, tukso, aksidente, salot at sa mga kalamidad. Napakaraming bagay ang maaaring matutunan at tataglayin ng mga taong magdedebsoyon sa karunongang ito kasama na dito ay ang proteksiyon mula sa masasamang loob, masasamang elemento, masasamang nilalang at mga masasamang espiritu. Proteksiyon laban sa kulam, barang, tigalpo, palipad-hangin at sa lahat na uri ng masasamang mahika. Mainam din na depensa laban sa bala at patalim na hanggat maaari ay mainam na taglayin ng mga sundalo, pulis at iba pang nasa panunungkolan ng ating pamahalaan.",2020,English,9781716049743,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): MSK SVDD,,,,,PDF,"['spirituality', 'spiritism', 'magical', 'magic', 'belief', 'angels', 'demons', 'wisdom', 'agimat', 'anting-anting', 'karunongang lihim', 'lihim na karunongan', 'sorcery']"
BATANG INA,Reychel Mawac,Paperback,USD 7.00,"Ang librong ito ay kwento ng aking personal na karanasan.
 Eighteen years na rin ang nakalipas at ang aking panganay ay 18 years old na rin ngayon. Kaparehong edad ko siya noong ako’y nag desisyon na pumasok sa buhay may pamilya at siya ang naging blessing. Bilang isang ina, takot ako na mangyari sa kanya ang mga hirap na pinag daanan ko . Siya ang naging  inspirasyon ko at nagpapalakas ng aking loob upang maisulat  ko ang  librong eto, ng para   maging gabay sa kanya ang aking mga lessons learned sa buhay, ng alam niya ang mga dapat  at hindi dapat gawin para maiwasan ang pagsisisi sa bandang huli. 
Sounds boring itong topic lalo na sa mga teenagers. Takot lang naman ako sa kasabihan na “History repeats itself”. Sana ang aklat na ito ang magiging daan upang ito ay maiwasan.
 
Ang akala ko ang pag-ibig na wagas na nakikita ko sa telebisyon ay sapat na sa pagbuo ng pamilya ngunit hindi pala. Marami pa pala akong dapat isinaalang-alang noon bago ako mag qualify sa buhay may-asawa at eto ay ang edukasyon, hanapbuhay at sakripisyo. 
Sapagkat kapag wala tayo nito ay ano nga ba ang maibibigay natin sa ating magiging pamilya or kung  kahit nalang para sa ating sarili. Paano tayo mag survive kahit papaano? Dahil ayon nga ng isang kasabihan na “Our life is our responsibility.”

Kaya heto ang lesson learned ko sa buhay  upang di  ka mahulog sa maagang pag papamilya like me upang maihanda mo ng iyong sarili for  a successful  future.",2021,"Filipino, Pilipino",9786214700998,Parenting & Families,All Rights Reserved - Standard Copyright License,By (author): Reychel Mawac,60,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['family', 'younadult', 'teenage']"
BATANG INA,Reychel Mawac,Ebook,USD 2.00,"Ang librong ito ay kwento ng aking personal na karanasan.
 Eighteen years na rin ang nakalipas at ang aking panganay ay 18 years old na rin ngayon. Kaparehong edad ko siya noong ako’y nag desisyon na pumasok sa buhay may pamilya at siya ang naging blessing. Bilang isang ina, takot ako na mangyari sa kanya ang mga hirap na pinag daanan ko . Siya ang naging  inspirasyon ko at nagpapalakas ng aking loob upang maisulat  ko ang  librong eto, ng para   maging gabay sa kanya ang aking mga lessons learned sa buhay, ng alam niya ang mga dapat  at hindi dapat gawin para maiwasan ang pagsisisi sa bandang huli. 
Sounds boring itong topic lalo na sa mga teenagers. Takot lang naman ako sa kasabihan na “History repeats itself”. Sana ang aklat na ito ang magiging daan upang ito ay maiwasan.
 
Ang akala ko ang pag-ibig na wagas na nakikita ko sa telebisyon ay sapat na sa pagbuo ng pamilya ngunit hindi pala. Marami pa pala akong dapat isinaalang-alang noon bago ako mag qualify sa buhay may-asawa at eto ay ang edukasyon, hanapbuhay at sakripisyo. 
Sapagkat kapag wala tayo nito ay ano nga ba ang maibibigay natin sa ating magiging pamilya or kung  kahit nalang para sa ating sarili. Paano tayo mag survive kahit papaano? Dahil ayon nga ng isang kasabihan na “Our life is our responsibility.”

Kaya heto ang lesson learned ko sa buhay  upang di  ka mahulog sa maagang pag papamilya like me upang maihanda mo ng iyong sarili for  a successful  future.",2021,"Filipino, Pilipino",9786214700981,Parenting & Families,All Rights Reserved - Standard Copyright License,By (author): Reychel Mawac,,,,,PDF,"['family', 'youngadult', 'relationships']"
